        Date        , GPU Clock [MHz] , Memory Clock [MHz] , UVD Clock [MHz] , UVD Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , Mem1 VRM Temperature [°C] , Mem2 VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , GPU Voltage [V] , Memory Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2020-03-16 17:13:05 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        534   ,                       57   ,                   8.0   ,         0.725   ,            0.675   ,               35.0   ,                  5470   ,
2020-03-16 17:13:06 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        534   ,                       57   ,                   8.0   ,         0.725   ,            0.675   ,               34.8   ,                  5473   ,
2020-03-16 17:13:07 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        535   ,                       57   ,                   8.0   ,         0.725   ,            0.675   ,               34.8   ,                  5471   ,
2020-03-16 17:13:08 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        535   ,                       57   ,                   8.0   ,         0.725   ,            0.675   ,               34.8   ,                  5463   ,
2020-03-16 17:13:09 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        535   ,                       57   ,                   8.0   ,         0.725   ,            0.675   ,               34.8   ,                  5455   ,
2020-03-16 17:13:10 ,         822.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        537   ,                       61   ,                   8.0   ,         1.200   ,            0.675   ,               35.0   ,                  5485   ,
2020-03-16 17:13:11 ,        1105.0   ,            964.0   ,         105.0   ,         102.0   ,               50.0   ,                          51.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          4   ,                        0   ,                        560   ,                       66   ,                  26.0   ,         0.725   ,            0.850   ,               35.8   ,                  5541   ,
2020-03-16 17:13:12 ,         788.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        554   ,                       66   ,                   8.0   ,         0.725   ,            0.675   ,               35.1   ,                  5539   ,
2020-03-16 17:13:13 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        551   ,                       63   ,                   8.0   ,         0.725   ,            0.675   ,               35.0   ,                  5571   ,
2020-03-16 17:13:14 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        551   ,                       63   ,                   8.0   ,         0.725   ,            0.675   ,               36.1   ,                  5584   ,
